Country,Books,Book1,Title1,Author1,Book2,Title2,Author2,Book3,Title3,Author3
Fiji,Peter Thomson Kava in the Blood / Epeli Hau’ofa Kisses in the Nederends; Tales of the Tikongs / Mikaele M.K. Yasa Of Baluka and Nibong Palm,Peter Thomson Kava in the Blood,,,Epeli Hau’ofa Kisses in the Nederends; Tales of the Tikongs,,,Mikaele M.K. Yasa Of Baluka and Nibong Pal,,
Finland,Arto Paasilinna The Year of the Hare / Mika Waltari The Egyptian / Johanna Sinisalo Troll: A Love Story / Sofi Oksanen Purge / Emmi Itäranta Memory of Water / Antti Tuomainen The Man Who Died,Arto Paasilinna The Year of the Hare,,,Mika Waltari The Egyptian,,,Johanna Sinisalo Troll: A Love Story,,
France,"Alain-Fournier The Wanderer / Marie NDiaye Rosie Carpe / Marie Darrieussecq My Phantom Husband / Colette Chéri / Faiza Guene Dreams from the Endz / Raymond Queneau Exercises in Style (trans. Barbara Wright) / Georges Perec Life:a User’s Manual (trans. David Bellos) / Jean-Marie Gustave Le Clezio Wandering Star / Jean Echenoz Lightning / Delphine de Vigan Underground Time / Faïza Guène Just Like Tomorrow / Alexis Jenni The French Art of War / Laurence Cossé A Novel Bookstore / Hélène Grémillon The Confidant / Jérôme Ferrari Where I Left My Soul / Marguerite Yourcenar / Michel Houellebecq / André Schwarz-Bart A Woman Named Solitude (trans. Ralph Manheim) / Abnousse Shalmani Khomeini, Sade and Me / Lydia Salvayre Cry, Mother Spain / Tiphaine Rivière Notes on a Thesis / Bessora/Barroux Alpha: Abidjan to Garde du Nord",Alain-Fournier The Wanderer,,,Marie NDiaye Rosie Carpe,,,Marie Darrieussecq My Phantom Husband,,
Gabon,Daniel Mengara Mema,Daniel Mengara Mem,,,None,,,None,,
Gambia,Gambia Dayo Forster Reading the Ceiling / Dembo Fanta Bojang & Sukai Mbye Bojang Folk Tales and Fables from The Gambia,Gambia Dayo Forster Reading the Ceiling,,,Dembo Fanta Bojang & Sukai Mbye Bojang Folk Tales and Fables from The Gambi,,,None,,
Georgia,Sana Krasikov One More Year / ed Elizabeth Heighway Contemporary Georgian Fiction / Cabua Amirejibi Data Tutashkhia / Mikheil Javakhishvili Kvachi / Otar Chiladze A Man Was Going Down the Road / Nino Haratischvili The Eighth Life: (for Brilka),Sana Krasikov One More Year,,,ed Elizabeth Heighway Contemporary Georgian Fiction,,,Cabua Amirejibi Data Tutashkhia,,
Germany,Jenny Erpenbeck Visitation; The End of Days / Günter Grass The Tin Drum / Christa Wolf / Heinrich Böll The Lost Honour of Katharina Blum / Emine Sevgi Özdamar Bridge of the Golden Horn / Walter Benjamin Illuminations (trans. Harry Zohn) / Clemens Meyer All the Lights / Christa Wolf Medea / Franz Fühmann / Inka Parei The Shadow-Boxing Girl / Hans Fallada Alone in Berlin / Jurek Becker Jacob the Liar / Herman Hesse Siddhartha / Thomas Mann / Yoko Tawada Memoirs of a Polar Bear,Jenny Erpenbeck Visitation; The End of Days,,,Günter Grass The Tin Drum,,,Christa Wolf,,
Ghana,Ayi Kwei Armah The Beautyful Ones Are Not Yet Born / Isaac Neequaye / Ama Ata Aidoo / Jo de Graft Hanson Amanfi’s Gold / Gheysika Adombire Agambila Journey / Various Anansi Stories,Ayi Kwei Armah The Beautyful Ones Are Not Yet Born,,,Isaac Neequaye,,,Ama Ata Aidoo,,
Greece,Kostas Hatziantoniou The Black Book of Bile; Agrigento / Margarita Karapanou Kassandra and the Wolf / Panos Karnezis / Nikos Kazantzakis Freedom or Death; The Last Temptation,Kostas Hatziantoniou The Black Book of Bile,,,Margarita Karapanou Kassandra and the Wolf,,,Panos Karnezis,,
Grenada,Tobias Buckell / Merle Collins The Ladies are Upstairs,Tobias Buckell,,,Merle Collins The Ladies are Upstair,,,None,,
Guatemala,"Miguel Angel Asturias The President / Rodrigo Rey Rosa / Rigoberta Menchú I, Rigoberta Menchú / Augusto Monterroso / Eduardo Halfon The Polish Boxer",Miguel Angel Asturias The President,,,Rodrigo Rey Rosa,,,"Rigoberta Menchú I, Rigoberta Menchú",,
Guinea,Camara Laye The Radiance of the King; The Guardian of the Word,Camara Laye The Radiance of the King; The Guardian of the Wor,,,None,,,None,,
Guinea-bissau,Amilcar Cabral Unity and Struggle / Abdulai Silá The Ultimate Tragedy,Amilcar Cabral Unity and Struggle,,,Abdulai Silá The Ultimate Traged,,,None,,
Guyana,Oonya Kempadoo Buxton Spice,Oonya Kempadoo Buxton Spic,,,None,,,None,,
Haiti,Marvin Victor / Lyonel Trouillot Children of Heroes / Dany Laferriere How to Make Love to a Negro without Getting Tired; I am a Japanese Writer / Louis-Philppe Dalembert / Edwidge Danticat The Farming of the Bones / Franketienne / Gary Klang / Josaphat-Robert Large,Marvin Victor,,,Lyonel Trouillot Children of Heroes,,,Dany Laferriere How to Make Love to a Negro without Getting Tired; I am a Japanese Writer,,
Honduras,Guillermo Yuscaran Points of Light / Ramón Amaya Amador,Guillermo Yuscaran Points of Light,,,Ramón Amaya Amado,,,None,,
Hong Kong,None,Xu Xi Dear Hong Kong: An Elegy to a City,,,None,,,None,,
Hungary,Sándor Márai Embers / Dezs? Kosztolányi Skylark / Zsigmond Móricz Be Faithful Unto Death / Antal Szerb Journey by Moonlight / Péter Esterházy Not Art / Tibor Fischer Under the Frog / Antal Szerb The Pendragon Legend / László Krasznahorkai War and War (trans. George Szirtes) / Ferenc Karinthy Metropole / Imre Kertész Fatelessness / Albert Wass / Rejt? Jen? / Péter Nádas A Book of Memories; Parallel Stories / Iván Mándy On the Balcony / Ferenc Molnár The Paul Street Boys,Sándor Márai Embers,,,Dezs? Kosztolányi Skylark,,,Zsigmond Móricz Be Faithful Unto Death,,
